Nested Sampling Global Log-Evidence           :   -0.171859269710765557E+04  +/-    0.713129938866668978E+00
Nested Importance Sampling Global Log-Evidence:   -0.172245615067556128E+04  +/-    0.183031732386180826E-01

Dim No.       Mean        Sigma
   1    0.483221221726370231E+02    0.249476998371047608E-01
   2    0.491017623286833285E+02    0.157899667209033152E-01
   3    0.261315015623198192E+02    0.212568336005193453E-01
   4    0.536218030129143308E+01    0.910354869825992646E-01
   5    0.119838644377395087E+01    0.378176930696780267E-01
   6    0.578746449721001865E+00    0.775716926628227006E-02
   7    0.841980727101392716E+02    0.687890584055414589E+00
   8    0.262785333446262399E+02    0.260302719393930848E-01
   9    0.545317811509952488E+01    0.124785083232342442E+00
  10    0.100138078132438224E+01    0.703717889104174404E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.483156078190871199E+02
   2    0.491011867817058487E+02
   3    0.261308571046014251E+02
   4    0.535841945115281870E+01
   5    0.119093561710549900E+01
   6    0.573844489442188466E+00
   7    0.837588543525541809E+02
   8    0.262610264361918517E+02
   9    0.549449744123540373E+01
  10    0.101139220926062823E+01

MAP Parameters
Dim No.        Parameter
   1    0.483156078190871199E+02
   2    0.491011867817058487E+02
   3    0.261308571046014251E+02
   4    0.535841945115281870E+01
   5    0.119093561710549900E+01
   6    0.573844489442188466E+00
   7    0.837588543525541809E+02
   8    0.262610264361918517E+02
   9    0.549449744123540373E+01
  10    0.101139220926062823E+01
